location,price,area,bedroom
3 BHK Residential Apartment in Sector-109 Gurgaon,"₹ 1.86 Cr₹ 7,831/sq.ft.","2,375 sq.ft. (221 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Residential Apartment in Sector-102 Gurgaon,"₹ 1.57  - 1.58 Cr₹ 6,084/sq.ft.","2,579-2,598 sq.ft. (240-241 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 98.44 Lac - 1.46 Cr₹ 5,250/sq.ft.","1,875-2,790 sq.ft. (174-259 sq.m.) Super built-up Area",4 BHK4 Baths
2 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 52.24  - 65.36 Lac₹ 5,250/sq.ft.","995-1,245 sq.ft. (92-116 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 74.81 Lac - 1.22 Cr₹ 5,250/sq.ft.","1,425-2,315 sq.ft. (132-215 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-150 Noida,₹ 1.64 Cr,"2,350 sq.ft. (218 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Sector-51 Gurgaon,"₹ 1.67  - 2.18 Cr₹ 8,000/sq.ft.","2,089-2,726 sq.ft. (194-253 sq.m.) Super built-up Area",4 BHK4 Baths
5 BHK Residential Apartment in Sector-107 Noida,"₹ 5.07 Cr₹ 12,998/sq.ft.","3,904 sq.ft. (363 sq.m.) Carpet Area",5 BHK
3 BHK Residential Apartment in Sector-43 Noida,₹ 2.05  - 2.06 Cr,"1,247-1,249 sq.ft. (116-116 sq.m.) Carpet Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-43 Noida,₹ 1.28 Cr,777 sq.ft. (72 sq.m.) Carpet Area,2 BHK2 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 71.96  - 88.2 Lac₹ 5,600/sq.ft.","1,285-1,575 sq.ft. (119-146 sq.m.) Super built-up Area",3 BHK
3 BHK Residential Apartment in Sector-128 Noida,"₹ 2.69  - 5.02 Cr₹ 16,729/sq.ft.","1,608-3,000 sq.ft. (149-279 sq.m.) Carpet Area",3 BHK
4 BHK Residential Apartment in Sector-124 Noida,"₹ 9  - 9.07 Cr₹ 15,000/sq.ft.","6,000-6,050 sq.ft. (557-562 sq.m.) Super built-up Area",4 BHK
3 BHK Residential Apartment in Sector-143 Noida,₹ 56.55  - 82.65 Lac,"759-1,117 sq.ft. (71-104 sq.m.) Carpet Area",3 BHK
2 BHK Independent Builder Floor in Vasant Kunj,₹ 50 Lac,900 sq.ft. (84 sq.m.) Super built-up Area,2 BHK2 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4.9 Cr₹ 10,845/sq.ft.","4,518 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Vasant Kunj,₹ 90.01 Lac,"1,300 sq.ft. (121 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-150 Noida,₹ 2.31 Cr,"3,300 sq.ft. (307 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4 Cr₹ 8,851/sq.ft.","4,519 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
1 BHK Independent Builder Floor in Vasant Kunj,₹ 25 Lac,450 sq.ft. (42 sq.m.) Super built-up Area,1 BHK1 Bath
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4 Cr₹ 8,853/sq.ft.","4,518 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-99A Gurgaon,"₹ 85 Lac - 1.29 Cr₹ 5,484/sq.ft.","1,550-2,350 sq.ft. (144-218 sq.m.) Super built-up Area",3 BHK
