location,price,area,bedroom
Residential land / Plot in Aya Nagar,"₹ 25 Lac₹ 5,556/sq.ft.",450 sq.ft. (42 sq.m.) Plot Area,
4 BHK Independent Builder Floor in Majlis Park,"₹ 2.21 Cr₹ 11,368/sq.ft.","1,944 sq.ft. (181 sq.m.) Carpet Area",4 BHK4 Baths
2 BHK Residential Apartment in Indraprastha Yojna,"₹ 26 Lac₹ 2,694/sq.ft.",965 sq.ft. (90 sq.m.) Built-up Area,2 BHK2 Baths
8 Bedroom Independent House in DLF CITY PHASE 3,"₹ 1.3 Cr₹ 24,074/sq.ft.",540 sq.ft. (50 sq.m.) Plot Area,8 BHK4 Baths
3 BHK Residential Apartment in Arun Vihar,"₹ 2.5 Cr₹ 11,363/sq.ft.","2,200 sq.ft. (204 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Arun Vihar,"₹ 1.82 Cr₹ 8,272/sq.ft.","2,200 sq.ft. (204 sq.m.) Super built-up Area",3 BHK3 Baths
7 Bedroom Independent House in Sector-40 Noida,"₹ 7.5 Cr₹ 18,581/sq.ft.","4,843 sq.ft. (450 sq.m.) Plot Area",7 BHK7 Baths
3 BHK Independent Builder Floor in Sector-57 Gurgaon,"₹ 1.2 Cr₹ 9,677/sq.ft.","1,240 sq.ft. (115 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 3.85 Cr₹ 12,183/sq.ft.","3,160 sq.ft. (294 sq.m.) Super built-up Area",4 BHK4 Baths
Residential property in Sector-59 Gurgaon,"₹ 3 Cr₹ 7,834/sq.ft.","3,829 sq.ft. (356 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Ashok Vihar,"₹ 46.5 Lac₹ 3,720/sq.ft.","1,250 sq.ft. (116 sq.m.) Built-up Area",3 BHK3 Baths
7 Bedroom Independent House in Defence Colony,"₹ 29.5 Cr₹ 81,944/sq.ft.","3,600 sq.ft. (334 sq.m.) Plot Area",7 BHK7 Baths
2 Bedroom Independent House in New Palam Vihar,"₹ 36 Lac₹ 6,452/sq.ft.",558 sq.ft. (52 sq.m.) Plot Area,2 BHK1 Bath
2 BHK Residential Apartment in Sector-67 Gurgaon,"₹ 1.25 Cr₹ 9,060/sq.ft.","1,435 sq.ft. (133 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 29.52  - 33.42 Lac₹ 3,000/sq.ft.","984-1,114 sq.ft. (91-103 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Sector 21A Faridabad,"₹ 2.04 Cr₹ 4,483/sq.ft.","4,550 sq.ft. (423 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sector 43 Faridabad,"₹ 72.1 Lac₹ 3,983/sq.ft.","1,810 sq.ft. (168 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Greenfield Colony,"₹ 72.1 Lac₹ 3,983/sq.ft.","1,810 sq.ft. (168 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Ashoka Enclave,"₹ 1.02 Cr₹ 4,834/sq.ft.","2,110 sq.ft. (196 sq.m.) Super built-up Area",4 BHK3 Baths
3 BHK Independent Builder Floor in Sector 28 Faridabad,"₹ 1.18 Cr₹ 5,257/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",3 BHK3 Baths
Residential land / Plot in Sector-51 Gurgaon,"₹ 2.11 Cr₹ 14,486/sq.ft.","1,453 sq.ft. (135 sq.m.) Plot Area",
4 BHK Independent Builder Floor in Sector 21D Faridabad,"₹ 1.37 Cr₹ 4,267/sq.ft.","3,210 sq.ft. (298 sq.m.) Super built-up Area",4 BHK3 Baths
3 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 3.75 Cr₹ 20,833/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 3.75 Cr₹ 20,833/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in New Palam Vihar,"₹ 35.25 Lac₹ 3,204/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-108 Gurgaon,"₹ 76 Lac₹ 5,923/sq.ft.","1,283 sq.ft. (119 sq.m.) Super built-up Area",2 BHK3 Baths
2 BHK Independent Builder Floor in Sector-25 Rohini,"₹ 53.5 Lac₹ 6,000/sq.ft.",700 sq.ft. (65 sq.m.) Built-up Area,2 BHK2 Baths
2 BHK Residential Apartment in Sector-11 Dwarka,"₹ 1.1 Cr₹ 8,166/sq.ft.","1,500 sq.ft. (139 sq.m.) Super built-up Area",2 BHK3 Baths
2 BHK Residential Apartment in Noida Extension Sec 1,"₹ 21 Lac₹ 2,295/sq.ft.",915 sq.ft. (85 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Residential Apartment in Crossing Republik,"₹ 63 Lac₹ 3,937/sq.ft.","1,600 sq.ft. (149 sq.m.) Carpet Area",3 BHK3 Baths
2 BHK Residential Apartment in Shalimar garden,"₹ 39.5 Lac₹ 3,708/sq.ft.","1,065 sq.ft. (99 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Shalimar garden,"₹ 45 Lac₹ 3,947/sq.ft.","1,140 sq.ft. (106 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Ansal Plaza,"₹ 1.8 Cr₹ 5,556/sq.ft.","3,240 sq.ft. (301 sq.m.) Carpet Area",4 BHK4 Baths
Residential land / Plot in Sector-89 Gurgaon,"₹ 2.05 Cr₹ 6,327/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",
2 BHK Independent Builder Floor in Chattarpur,"₹ 49 Lac₹ 6,533/sq.ft.",750 sq.ft. (70 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Chattarpur,"₹ 75 Lac₹ 6,667/sq.ft.","1,125 sq.ft. (105 sq.m.) Super built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Chattarpur,"₹ 49 Lac₹ 6,533/sq.ft.",750 sq.ft. (70 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Chattarpur Enclave Phase 2,"₹ 30.99 Lac₹ 4,919/sq.ft.",630 sq.ft. (59 sq.m.) Carpet Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Chattarpur,"₹ 49.01 Lac₹ 6,534/sq.ft.",750 sq.ft. (70 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in C R Park,"₹ 4 Cr₹ 19,075/sq.ft.","2,097 sq.ft. (195 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Sector-31 Gurgaon,"₹ 1.57 Cr₹ 6,633/sq.ft.","2,367 sq.ft. (220 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-111 Gurgaon,"₹ 1.74 Cr₹ 7,855/sq.ft.","2,215 sq.ft. (206 sq.m.) Super built-up Area",3 BHK4 Baths
2 Bedroom Farm house in Sohna,"₹ 2.25 Cr₹ 1,250/sq.ft.","43,560 sq.ft. (4047 sq.m.) Plot Area",2 BHK3 Baths
3 BHK Independent Builder Floor in Sector-57 Gurgaon,"₹ 1.5 Cr₹ 6,667/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",3 BHK3 Baths
4 Bedroom Farm house in Sohna,₹ 6 Cr₹ 631/sq.ft.,"87,120 sq.ft. (8094 sq.m.) Plot Area",4 BHK5 Baths
1 Bedroom Farm house in Sohna,₹ 1 Cr₹ 230/sq.ft.,"43,560 sq.ft. (4047 sq.m.) Plot Area",1 BHK1 Bath
3 BHK Residential Apartment in Sector-16C Greater Noida,"₹ 64 Lac₹ 4,456/sq.ft.","1,436 sq.ft. (133 sq.m.) Super built-up Area",3 BHK2 Baths
4 BHK Independent Builder Floor in Sector-48 Gurgaon,"₹ 2.45 Cr₹ 4,742/sq.ft.","5,166 sq.ft. (480 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 82 Lac₹ 4,659/sq.ft.","1,760 sq.ft. (164 sq.m.) Carpet Area",3 BHK4 Baths
3 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 82 Lac₹ 4,659/sq.ft.","1,760 sq.ft. (164 sq.m.) Carpet Area",3 BHK4 Baths
5 BHK Independent Builder Floor in South City 2,"₹ 2.8 Cr₹ 6,222/sq.ft.","4,500 sq.ft. (418 sq.m.) Super built-up Area",5 BHK5 Baths
2 BHK Residential Apartment in Sector-82 Gurgaon,"₹ 82 Lac₹ 5,734/sq.ft.","1,435 sq.ft. (133 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Noida Extension,"₹ 38 Lac₹ 4,245/sq.ft.",895 sq.ft. (83 sq.m.) Carpet Area,2 BHK2 Baths
3 BHK Residential Apartment in Sector-112 Gurgaon,"₹ 2.2 Cr₹ 7,719/sq.ft.","2,850 sq.ft. (265 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in Sector-65 Gurgaon,"₹ 1.44 Cr₹ 7,575/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Malibu Town,"₹ 1.45 Cr₹ 8,262/sq.ft.","1,755 sq.ft. (163 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-42 Gurgaon,"₹ 14.5 Cr₹ 22,307/sq.ft.","6,500 sq.ft. (604 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sector-57 Gurgaon,"₹ 1.24 Cr₹ 6,888/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in S.D.A,"₹ 8.52 Cr₹ 20,580/sq.ft.","4,140 sq.ft. (385 sq.m.) Super built-up Area",4 BHK5 Baths
Residential land / Plot in Sector-51 Gurgaon,"₹ 3.93 Cr₹ 12,768/sq.ft.","3,078 sq.ft. (286 sq.m.) Plot Area",
4 Bedroom Independent House in Sector-66 Gurgaon,"₹ 5.4 Cr₹ 9,634/sq.ft.","5,605 sq.ft. (521 sq.m.) Built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in South City 1,"₹ 2.4 Cr₹ 6,666/sq.ft.","3,600 sq.ft. (334 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 4.5 Cr₹ 10,000/sq.ft.","4,500 sq.ft. (418 sq.m.) Carpet Area",5 BHK4 Baths
4 BHK Independent Builder Floor in Gulmohar park,"₹ 8 Cr₹ 266,666/sq.ft.",300 sq.ft. (28 sq.m.) Super built-up Area,4 BHK4 Baths
4 BHK Independent Builder Floor in Vasant Vihar,"₹ 9.4 Cr₹ 26,111/sq.ft.","3,600 sq.ft. (334 sq.m.) Carpet Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 3.11 Cr₹ 17,278/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-66 Gurgaon,"₹ 1.9 Cr₹ 9,519/sq.ft.","1,996 sq.ft. (185 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Shanti Kunj,"₹ 1.5 Cr₹ 6,667/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in S.D.A,"₹ 8.5 Cr₹ 20,987/sq.ft.","4,050 sq.ft. (376 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Kailash Colony,"₹ 7.25 Cr₹ 16,111/sq.ft.","4,500 sq.ft. (418 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sushant Lok Phase - 3,"₹ 1.7 Cr₹ 5,668/sq.ft.","2,999 sq.ft. (279 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Vasant Kunj,"₹ 1.8 Cr₹ 11,250/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector 88 Faridabad,"₹ 68.6 Lac₹ 3,684/sq.ft.","1,862 sq.ft. (173 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in Sewak Park,"₹ 43 Lac₹ 5,212/sq.ft.",825 sq.ft. (77 sq.m.) Carpet Area,3 BHK2 Baths
3 BHK Residential Apartment in Sector-49 Gurgaon,"₹ 1.4 Cr₹ 7,897/sq.ft.","1,773 sq.ft. (165 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-49 Gurgaon,"₹ 1.4 Cr₹ 7,897/sq.ft.","1,773 sq.ft. (165 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-82 Gurgaon,"₹ 73 Lac₹ 5,174/sq.ft.","1,430 sq.ft. (133 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-37D Gurgaon,"₹ 68 Lac₹ 5,218/sq.ft.","1,303 sq.ft. (121 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector-108 Gurgaon,"₹ 1.62 Cr₹ 9,068/sq.ft.","1,711 sq.ft. (159 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 1.59 Cr₹ 8,698/sq.ft.","1,828 sq.ft. (170 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.45 Cr₹ 11,672/sq.ft.","2,099 sq.ft. (195 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Defence Colony,"₹ 7.7 Cr₹ 26,325/sq.ft.","2,925 sq.ft. (272 sq.m.) Super built-up Area",3 BHK4 Baths
Residential land / Plot in Sector Omega -1 Gr Noida,"₹ 1.75 Cr₹ 3,252/sq.ft.","5,381 sq.ft. (500 sq.m.) Plot Area",
1 BHK Residential Apartment in Jaypee Greens,"₹ 1 Cr₹ 7,812/sq.ft.","1,280 sq.ft. (119 sq.m.) Carpet Area",1 BHK1 Bath
5 Bedroom Independent House in Jaypee Greens,"₹ 12 Cr₹ 13,333/sq.ft.","9,000 sq.ft. (836 sq.m.) Plot Area",5 BHK6 Baths
5 Bedroom Independent House in Jaypee Greens,"₹ 6.5 Cr₹ 11,120/sq.ft.","7,233 sq.ft. (672 sq.m.) Plot Area",5 BHK5 Baths
5 Bedroom Independent House in Jaypee Greens,"₹ 6.5 Cr₹ 9,341/sq.ft.","5,352 sq.ft. (497 sq.m.) Built-up Area",5 BHK5 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 1.25 Cr₹ 3,086/sq.ft.","4,050 sq.ft. (376 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in green field colony,"₹ 73 Lac₹ 4,055/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 1 Cr₹ 3,174/sq.ft.","3,150 sq.ft. (293 sq.m.) Built-up Area",4 BHK4 Baths
2 BHK Residential Apartment in Crossing Republik,"₹ 38 Lac₹ 2,934/sq.ft.","1,295 sq.ft. (120 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Crossing Republik,"₹ 42 Lac₹ 2,947/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Greater Noida West,"₹ 40.41 Lac₹ 3,848/sq.ft.","1,050 sq.ft. (98 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-124 Noida,"₹ 7.8 Cr₹ 12,892/sq.ft.","6,050 sq.ft. (562 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-124 Noida,"₹ 7.59 Cr₹ 12,545/sq.ft.","6,050 sq.ft. (562 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-124 Noida,"₹ 7.5 Cr₹ 12,396/sq.ft.","6,050 sq.ft. (562 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in sector-121 Noida,"₹ 2.36 Cr₹ 9,640/sq.ft.","2,448 sq.ft. (227 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in sector-121 Noida,"₹ 1.46 Cr₹ 7,991/sq.ft.","1,827 sq.ft. (170 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-128 Noida,"₹ 1.71 Cr₹ 6,443/sq.ft.","2,654 sq.ft. (247 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-137 Noida,"₹ 44 Lac₹ 4,230/sq.ft.","1,040 sq.ft. (97 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 82 Lac₹ 6,381/sq.ft.","1,285 sq.ft. (119 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 82 Lac₹ 6,381/sq.ft.","1,285 sq.ft. (119 sq.m.) Super built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Sector-150 Noida,"₹ 74 Lac₹ 6,727/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Hauz Khas Enclave,"₹ 10 Cr₹ 18,518/sq.ft.","5,400 sq.ft. (502 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-75 Noida,"₹ 1.65 Cr₹ 6,571/sq.ft.","2,511 sq.ft. (233 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Rosewood,"₹ 2.5 Cr₹ 7,812/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",4 BHK5 Baths
2 BHK Residential Apartment in NH-24 Highway,"₹ 20.95 Lac₹ 2,464/sq.ft.",850 sq.ft. (79 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Ankur Vihar,"₹ 18.5 Lac₹ 2,256/sq.ft.",820 sq.ft. (76 sq.m.) Super built-up Area,2 BHK2 Baths
Residential land / Plot in Sector-93 Noida,"₹ 2.99 Cr₹ 9,259/sq.ft.","3,229 sq.ft. (300 sq.m.) Plot Area",
5 Bedroom Independent House in Jaypee Greens,"₹ 5.5 Cr₹ 10,506/sq.ft.","5,235 sq.ft. (486 sq.m.) Plot Area",5 BHK5 Baths
6 Bedroom Independent House in Sector-40 Noida,"₹ 6.5 Cr₹ 15,249/sq.ft.","4,262 sq.ft. (396 sq.m.) Built-up Area",6 BHK7 Baths
3 BHK Residential Apartment in NH-24 Highway,"₹ 43.4 Lac₹ 2,712/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-63 Gurgaon,"₹ 1.72 Cr₹ 9,555/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",3 BHK3 Baths
Residential land / Plot in Sector-20 Yamuna Expressway,"₹ 2.47 Cr₹ 1,149/sq.ft.","21,527 sq.ft. (2000 sq.m.) Plot Area",
2 BHK Independent Builder Floor in Vaishali,"₹ 42 Lac₹ 3,818/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-2 Gr Noida,"₹ 44 Lac₹ 4,150/sq.ft.","1,060 sq.ft. (98 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-108 Noida,"₹ 2.79 Cr₹ 6,991/sq.ft.","3,995 sq.ft. (371 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-108 Noida,"₹ 3.41 Cr₹ 7,001/sq.ft.","4,874 sq.ft. (453 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-108 Noida,"₹ 2.31 Cr₹ 7,000/sq.ft.","3,302 sq.ft. (307 sq.m.) Super built-up Area",3 BHK4 Baths
4 BHK Independent Builder Floor in Hauz Khas,"₹ 4.35 Cr₹ 15,541/sq.ft.","2,799 sq.ft. (260 sq.m.) Carpet Area",4 BHK4 Baths
2 BHK Residential Apartment in Mehrauli,"₹ 50 Lac₹ 5,263/sq.ft.",950 sq.ft. (88 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Residential Apartment in NH-24 Highway,"₹ 49 Lac₹ 2,745/sq.ft.","1,785 sq.ft. (166 sq.m.) Super built-up Area",3 BHK3 Baths
5 Bedroom Independent House in Jaypee Greens,"₹ 7 Cr₹ 12,233/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",5 BHK5 Baths
3 BHK Residential Apartment in Sector-128 Noida,"₹ 2.63 Cr₹ 8,766/sq.ft.","3,000 sq.ft. (279 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector Chi 5 Gr Noida,"₹ 53.5 Lac₹ 3,580/sq.ft.","1,494 sq.ft. (139 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sohna,"₹ 24.08 Lac₹ 4,000/sq.ft.",602 sq.ft. (56 sq.m.) Carpet Area,2 BHK2 Baths
2 BHK Residential Apartment in Sector-37D Gurgaon,₹ 23.2 Lac,580 sq.ft. (54 sq.m.) Carpet Area,2 BHK2 Baths
2 BHK Residential Apartment in Sector-37D Gurgaon,₹ 23.2 Lac,580 sq.ft. (54 sq.m.) Carpet Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Chattarpur,"₹ 48 Lac₹ 4,103/sq.ft.","1,170 sq.ft. (109 sq.m.) Super built-up Area",3 BHK2 Baths
1 BHK Independent Builder Floor in Chattarpur Enclave Phase 2,"₹ 21 Lac₹ 3,818/sq.ft.",550 sq.ft. (51 sq.m.) Built-up Area,1 BHK1 Bath
4 BHK Independent Builder Floor in Sector-63A Gurgaon,"₹ 1.66  - 2.84 Cr₹ 14,253/sq.ft.","1,164-1,989 sq.ft. (108-185 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sector-63A Gurgaon,"₹ 1.86  - 1.98 Cr₹ 14,531/sq.ft.","1,305-1,335 sq.ft. (121-124 sq.m.) Carpet Area",3 BHK
2 BHK Independent Builder Floor in Sector-63A Gurgaon,"₹ 1.38  - 1.41 Cr₹ 15,771/sq.ft.",875-893 sq.ft. (81-83 sq.m.) Carpet Area,2 BHK
4 BHK Residential Apartment in Sector-102 Gurgaon,"₹ 1.73  - 2.08 Cr₹ 8,000/sq.ft.","2,162-2,600 sq.ft. (201-242 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-102 Gurgaon,"₹ 1.13  - 1.54 Cr₹ 8,300/sq.ft.","1,358-1,852 sq.ft. (126-172 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Sector-102 Gurgaon,"₹ 1.88  - 2.15 Cr₹ 6,053/sq.ft.","3,106-3,560 sq.ft. (289-331 sq.m.) Built-up Area",4 BHK6 Baths
3 BHK Independent Builder Floor in Sector-102 Gurgaon,"₹ 1.06  - 1.33 Cr₹ 5,989/sq.ft.","1,770-2,229 sq.ft. (164-207 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Raj Nagar Extension,"₹ 26.7  - 44.25 Lac₹ 3,000/sq.ft.","890-1,475 sq.ft. (83-137 sq.m.) Super built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Raj Nagar Extension,"₹ 29.4  - 42.15 Lac₹ 3,000/sq.ft.","980-1,405 sq.ft. (91-131 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Raj Nagar Extension,"₹ 37.6  - 52 Lac₹ 3,200/sq.ft.","1,175-1,625 sq.ft. (109-151 sq.m.) Super built-up Area",3 BHK
4 BHK Residential Apartment in Raj Nagar Extension,"₹ 40.38  - 41.34 Lac₹ 3,000/sq.ft.","1,345-1,378 sq.ft. (125-128 sq.m.) Carpet Area",4 BHK4 Baths
6 BHK Residential Apartment in Sector-42 Gurgaon,Price on Request,"11,000-16,500 sq.ft. (1022-1533 sq.m.) Super built-up Area",6 BHK7 Baths
3 BHK Independent Builder Floor in Neb Sarai,"₹ 65 Lac₹ 5,000/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",3 BHK2 Baths
1 BHK Independent Builder Floor in Neb Sarai,"₹ 16 Lac₹ 3,200/sq.ft.",500 sq.ft. (46 sq.m.) Super built-up Area,1 BHK1 Bath
2 BHK Independent Builder Floor in Neb Sarai,"₹ 32.51 Lac₹ 3,612/sq.ft.",900 sq.ft. (84 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Neb Sarai,"₹ 32 Lac₹ 3,555/sq.ft.",900 sq.ft. (84 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Neb Sarai,"₹ 32.51 Lac₹ 4,250/sq.ft.",765 sq.ft. (71 sq.m.) Built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Sector-65 Gurgaon,"₹ 1.3 Cr₹ 8,182/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in New Palam Vihar,"₹ 34.25 Lac₹ 3,113/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",3 BHK3 Baths
Residential land / Plot in Sector-89 Gurgaon,"₹ 2 Cr₹ 6,173/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 51.87  - 63.84 Lac₹ 3,800/sq.ft.","1,365-1,680 sq.ft. (127-156 sq.m.) Super built-up Area",3 BHK
Residential land / Plot in Sector-89 Gurgaon,"₹ 1.98 Cr₹ 6,111/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector-75 Noida,"₹ 1.35 Cr₹ 6,355/sq.ft.","2,124 sq.ft. (197 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-75 Noida,"₹ 1.35 Cr₹ 6,355/sq.ft.","2,124 sq.ft. (197 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Greater Noida West,"₹ 36 Lac₹ 3,618/sq.ft.",995 sq.ft. (92 sq.m.) Carpet Area,2 BHK2 Baths
Residential land / Plot in Sector-73 Gurgaon,"₹ 4.58 Cr₹ 9,459/sq.ft.","4,842 sq.ft. (450 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Sainik Colony,"₹ 64 Lac₹ 3,307/sq.ft.","1,935 sq.ft. (180 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Panchsheel Park,"₹ 18.5 Cr₹ 25,694/sq.ft.","7,200 sq.ft. (669 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sector-18 Rohini,"₹ 2.5 Cr₹ 15,642/sq.ft.","1,598 sq.ft. (148 sq.m.) Carpet Area",4 BHK3 Baths
3 BHK Residential Apartment in Sector-84 Gurgaon,"₹ 84 Lac₹ 4,379/sq.ft.","1,918 sq.ft. (178 sq.m.) Super built-up Area",3 BHK3 Baths
